Product Name,SKU,Variant Title,Flavor,Size,Price,Sale Price,Original Price,In Stock,Product URL
Impact Whey Isolate,10852492,Impact Whey Isolate - 5.5lb - Vanilla Ice Cream,Vanilla Ice Cream,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852493,Impact Whey Isolate - 2.2lb - Unflavored,Unflavored,2.2lb,CA$109.99,,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852495,Impact Whey Isolate - 2.2lb - Chocolate Milkshake,Chocolate Milkshake,2.2lb,CA$109.99,,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852496,Impact Whey Isolate - 2.2lb - Strawberry Milkshake,Strawberry Milkshake,2.2lb,CA$109.99,,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,10852497,Impact Whey Isolate - 2.2lb - Vanilla Ice Cream,Vanilla Ice Cream,2.2lb,CA$109.99,,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11076366,Impact Whey Isolate - 5.5lb - Salted Caramel,Salted Caramel,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11076367,Impact Whey Isolate - 11lb - Salted Caramel,Salted Caramel,11lb,CA$409.99,,CA$409.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11111212,Impact Whey Isolate - 2.2lb - Chocolate Brownie,Chocolate Brownie,2.2lb,CA$109.99,,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11111213,Impact Whey Isolate - 5.5lb - Chocolate Brownie,Chocolate Brownie,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11111214,Impact Whey Isolate - 11lb - Chocolate Brownie,Chocolate Brownie,11lb,CA$409.99,,CA$409.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11276659,Impact Whey Isolate - 11lb - Unflavored,Unflavored,11lb,CA$409.99,,CA$409.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11352686,Impact Whey Isolate - 2.2lb - Mocha,Mocha,2.2lb,CA$92.99,CA$92.99,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11352687,Impact Whey Isolate - 5.5lb - Mocha,Mocha,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,11352688,Impact Whey Isolate - 11lb - Mocha,Mocha,11lb,CA$409.99,,CA$409.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,13123177,Impact Whey Isolate - 2.2lb - Cookies and Cream,Cookies and Cream,2.2lb,CA$109.99,,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,14694473,Impact Whey Isolate - 2.2lb - Chocolate Peanut Butter,Chocolate Peanut Butter,2.2lb,CA$109.99,,CA$109.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,14990618,Impact Whey Isolate - 6lb - Vanilla Ice Cream,Vanilla Ice Cream,6lb,CA$244.99,,CA$244.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,14990619,Impact Whey Isolate - 6lb - Salted Caramel,Salted Caramel,6lb,CA$244.99,,CA$244.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,15058949,Impact Whey Isolate - 0.55lb - Strawberry Milkshake,Strawberry Milkshake,0.55lb,CA$32.99,,CA$32.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,15058957,Impact Whey Isolate - 0.55lb - Salted Caramel,Salted Caramel,0.55lb,CA$32.99,,CA$32.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,15058965,Impact Whey Isolate - 0.55lb - Fruity Cereal,Fruity Cereal,0.55lb,CA$32.99,,CA$32.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Isolate,15633215,Impact Whey Isolate - 5.5lb - Chocolate Peanut Butter,Chocolate Peanut Butter,5.5lb,CA$224.99,,CA$224.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/
Impact Whey Protein,10852505,Impact Whey Protein - 11lb - Chocolate Milkshake,Chocolate Milkshake,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852507,Impact Whey Protein - 11lb - Mocha,Mocha,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852509,Impact Whey Protein - 11lb - Strawberry Milkshake,Strawberry Milkshake,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852511,Impact Whey Protein - 11lb - Unflavored,Unflavored,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852512,Impact Whey Protein - 11lb - Vanilla Ice Cream,Vanilla Ice Cream,11lb,CA$309.99,,CA$309.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
Impact Whey Protein,10852517,Impact Whey Protein - 5.5lb - Chocolate Milkshake,Chocolate Milkshake,5.5lb,CA$169.99,,CA$169.99,Yes,https://ca.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/
